Designator,Mid X,Mid Y,Rotation,Layer
C-SD1,156.525,-68.6,180.0,top
C23,158.36,-135.405,0.0,top
C3-1,133.7,-92.3,0.0,top
C3-2,133.5,-86.6,0.0,top
C4,157.7,-119.1,90.0,top
C5,137.4,-72.9375,90.0,top
C6,157.5,-99.0,180.0,top
C7,146.7,-63.4,90.0,top
J1,132.3,-74.1,0.0,top
Q1,144.7,-49.35,0.0,top
Q2,144.8,-42.4875,0.0,top
R1,134.4,-61.9,90.0,top
R2,169.24,-78.38,180.0,top
R3,156.65,-65.6,180.0,top
R4,142.35,-52.7,180.0,top
R5,142.3,-46.0,180.0,top
R6,176.9,-82.3,90.0,top
SD1,172.21,-68.05,90.0,top
U23,154.6,-141.7,270.0,top
U3,140.3,-89.5,0.0,top
U4,154.7875,-125.7,270.0,top
U5,140.4,-78.8875,0.0,top
U6,154.7875,-105.2,270.0,top
U7,143.6,-68.8,270.0,top
